horario,numero,cor
23:35:18,5,V
23:35:14,12,P
23:35:00,2,V
23:35,12,P
23:35,0,B
23:34:48,6,V
23:34:44,1,V
23:34:30,7,V
23:34:18,11,P
23:34:14,13,P
23:34:00,7,V
23:34,3,V
23:34,7,V
23:33:47,8,P
23:33:44,6,V
23:33:30,1,V
23:33:17,14,P
23:33:14,9,P
23:33:00,12,P
23:33,10,P
23:33,14,P
23:32:47,7,V
23:32:44,10,P
23:32:30,8,P
23:32:17,6,V
23:32:14,6,V
23:32:00,4,V
23:32,9,P
23:32,2,V
23:31:47,2,V
23:31:44,2,V
23:31:30,0,B
23:31:17,13,P
23:31:14,11,P
23:31:00,12,P
23:31,8,P
23:31,9,P
23:30:47,0,B
23:30:43,1,V
23:30:30,0,B
23:30:17,12,P
23:30:13,2,V
23:30:00,12,P
23:30,10,P
23:30,5,V
23:29:47,11,P
23:29:43,8,P
23:29:30,14,P
23:29:17,4,V
23:29:13,9,P
23:29:00,4,V
23:29,7,V
23:29,9,P
23:28:47,10,P
23:28:43,6,V
23:28:30,10,P
23:28:17,8,P
23:28:13,7,V
23:28:00,5,V
23:28,5,V
23:28,12,P
23:27:47,6,V
23:27:43,10,P
23:27:30,10,P
23:27:17,8,P
23:27:13,3,V
23:27,1,V
23:27,7,V
23:26:59,5,V
23:26:47,6,V
23:26:43,13,P
23:26:29,6,V
23:26:17,0,B
23:26:13,8,P
23:26:13,10,P
23:26,10,P
23:26,2,V
23:25:59,1,V
23:25:47,0,B
23:25:43,10,P
23:25:29,10,P
23:25:16,11,P
23:25:13,12,P
23:25,3,V
23:25,9,P
23:24:59,1,V
23:24:46,5,V
23:24:43,11,P
23:24:29,1,V
23:24:16,10,P
23:24:13,6,V
23:24,7,V
23:24,10,P
23:23:59,11,P
23:23:46,12,P
23:23:43,7,V
23:23:29,10,P
23:23:16,2,V
23:23:13,6,V
23:23,8,P
23:23,14,P
23:22:59,10,P
23:22:46,6,V
23:22:43,0,B
23:22:29,0,B
23:22:16,9,P
23:22:13,10,P
23:22,11,P
23:22,4,V
23:21:59,0,B
23:21:46,3,V
23:21:42,3,V
23:21:29,2,V
23:21:16,0,B
23:21:12,12,P
23:21,12,P
23:21,8,P
23:20:59,11,P
23:20:46,9,P
23:20:42,12,P
23:20:29,4,V
23:20:16,3,V
23:20:12,7,V
23:20,10,P
23:20,4,V
23:19:59,14,P
23:19:46,11,P
23:19:42,3,V
23:19:29,2,V
23:19:16,11,P
23:19:12,6,V
23:19,3,V
23:19,14,P
23:18:59,10,P
23:18:46,9,P
23:18:42,12,P
23:18:29,2,V
23:18:16,13,P
23:18:12,3,V
23:18,5,V
23:18,10,P
23:17:58,6,V
23:17:46,4,V
23:17:42,11,P
23:17:28,10,P
23:17:16,7,V
23:17:12,2,V
23:17,0,B
23:17,10,P
23:16:58,0,B
23:16:46,12,P
23:16:42,0,B
23:16:28,4,V
23:16:15,10,P
23:16:12,3,V
23:16,6,V
23:16,14,P
23:15:58,3,V
23:15:45,6,V
23:15:42,0,B
23:15:28,2,V
23:15:15,7,V
23:15:12,6,V
23:15,2,V
23:15,12,P
23:14:58,12,P
23:14:45,1,V
23:14:42,9,P
23:14:28,12,P
23:14:15,6,V
23:14:12,12,P
23:14,3,V
23:14,14,P
23:13:58,13,P
23:13:45,2,V
23:13:42,2,V
23:13:28,6,V
23:13:15,3,V
23:13:12,14,P
23:13,7,V
23:13,14,P
23:12:58,6,V
23:12:45,14,P
23:12:41,6,V
23:12:28,5,V
23:12:15,13,P
23:12:11,6,V
23:12,1,V
23:12,12,P
23:11:58,6,V
23:11:45,0,B
23:11:41,9,P
23:11:28,7,V
23:11:15,4,V
23:11:11,13,P
23:11,10,P
23:11,7,V
23:10:58,7,V
23:10:45,14,P
23:10:41,4,V
23:10:28,3,V
23:10:15,8,P
23:10:11,7,V
23:10,5,V
23:10,2,V
23:09:58,5,V
23:09:45,0,B
23:09:41,7,V
23:09:28,2,V
23:09:15,0,B
23:09:11,14,P
23:09,1,V
23:09,12,P
23:08:57,12,P
23:08:45,9,P
23:08:41,5,V
23:08:27,4,V
23:08:15,7,V
23:08:11,14,P
23:08,5,V
23:08,7,V
23:07:57,6,V
23:07:45,6,V
23:07:41,0,B
23:07:27,2,V
23:07:14,2,V
23:07:11,11,P
23:07,0,B
23:07,8,P
23:06:57,1,V
23:06:44,6,V
23:06:41,9,P
23:06:41,5,V
23:06:27,10,P
23:06:14,8,P
23:06:11,9,P
23:06,13,P
23:06,14,P
23:05:57,13,P
23:05:44,1,V
23:05:41,7,V
23:05:27,8,P
23:05:14,0,B
23:05:11,6,V
23:05,8,P
23:04:57,14,P
23:04:44,8,P
23:04:41,11,P
23:04:27,6,V
23:04:14,9,P
23:04:11,5,V
23:04,12,P
23:04,5,V
23:03:57,2,V
23:03:44,9,P
23:03:40,4,V
23:03:27,13,P
23:03:14,13,P
23:03:10,12,P
23:03,3,V
23:02:57,12,P
23:02:44,4,V
23:02:40,4,V
23:02:27,11,P
23:02:14,3,V
23:02:10,2,V
23:02,4,V
23:02,14,P
23:01:57,4,V
23:01:44,9,P
23:01:40,7,V
23:01:27,8,P
23:01:14,0,B
23:01:10,3,V
23:01,4,V
23:01,1,V
23:00:57,6,V
23:00:44,2,V
23:00:40,13,P
23:00:26,8,P
23:00:14,2,V
23:00:10,14,P
23:00,7,V
23:00,0,B
22:59:56,3,V
22:59:44,7,V
22:59:40,10,P
22:59:26,1,V
22:59:14,1,V
22:59:10,6,V
22:59,12,P
22:59,1,V
22:58:56,10,P
22:58:43,8,P
22:58:40,10,P
22:58:26,3,V
22:58:13,10,P
22:58:10,6,V
22:58,12,P
22:58,5,V
22:57:56,6,V
22:57:43,13,P
22:57:40,4,V
22:57:26,1,V
22:57:13,3,V
22:57:09,0,B
22:57,9,P
22:57,10,P
22:56:56,12,P
22:56:43,8,P
22:56:39,0,B
22:56:26,14,P
22:56:13,5,V
22:56:09,13,P
22:56,12,P
22:55:56,9,P
22:55:56,8,P
22:55:43,3,V
22:55:39,1,V
22:55:26,9,P
22:55:13,7,V
22:55:09,10,P
22:55,10,P
22:55,5,V
22:54:56,6,V
22:54:43,5,V
22:54:39,14,P
22:54:26,6,V
22:54:13,3,V
22:54:09,3,V
22:54,7,V
22:54,3,V
22:53:56,3,V
22:53:43,11,P
22:53:39,3,V
22:53:25,1,V
22:53:13,1,V
22:53:09,1,V
22:53,12,P
22:53,8,P
22:52:55,4,V
22:52:43,9,P
22:52:39,9,P
22:52:25,3,V
22:52:13,10,P
22:52:09,11,P
22:52,13,P
22:52,5,V
22:51:55,7,V
22:51:43,0,B
22:51:39,5,V
22:51:25,10,P
22:51:13,14,P
22:51:09,13,P
22:51,5,V
22:51,4,V
22:50:55,12,P
22:50:42,5,V
22:50:39,10,P
22:50:25,7,V
22:50:12,7,V
22:50:09,2,V
22:50,2,V
22:50,1,V
22:49:55,1,V
22:49:42,8,P
22:49:39,13,P
22:49:25,4,V
22:49:12,7,V
22:49:09,7,V
22:49,6,V
22:49,2,V
22:48:55,3,V
22:48:42,0,B
22:48:38,10,P
22:48:25,6,V
22:48:12,11,P
22:48:08,0,B
22:48,7,V
22:48,11,P
22:47:55,7,V
22:47:42,11,P
22:47:38,3,V
22:47:25,5,V
22:47:12,7,V
22:47:08,3,V
22:47,8,P
22:47,4,V
22:46:55,8,P
22:46:42,5,V
22:46:38,8,P
22:46:25,0,B
22:46:12,12,P
22:46:08,14,P
22:46,3,V
22:46,5,V
22:45:55,5,V
22:45:42,9,P
22:45:38,3,V
22:45:25,5,V
22:45:12,7,V
22:45:08,10,P
22:45,5,V
22:45,3,V
22:44:55,11,P
22:44:42,14,P
22:44:38,0,B
22:44:24,13,P
22:44:12,8,P
22:44:08,3,V
22:44,9,P
22:44,5,V
22:43:54,9,P
22:43:42,6,V
22:43:38,1,V
22:43:24,13,P
22:43:12,7,V
22:43:08,12,P
22:43,11,P
22:43,4,V
22:42:54,13,P
22:42:42,1,V
22:42:38,3,V
22:42:24,9,P
22:42:11,7,V
22:42:08,7,V
22:42,0,B
22:42,14,P
22:41:54,6,V
22:41:41,14,P
22:41:38,13,P
22:41:24,9,P
22:41:11,1,V
22:41:08,5,V
22:41,13,P
22:41,9,P
22:40:54,12,P
22:40:41,6,V
22:40:38,0,B
22:40:24,12,P
22:40:11,10,P
22:40:08,12,P
22:40,7,V
22:40,12,P
22:39:54,4,V
22:39:41,11,P
22:39:37,12,P
22:39:24,12,P
22:39:11,11,P
22:39:07,8,P
22:39,4,V
22:39,14,P
22:38:54,3,V
22:38:41,0,B
22:38:37,12,P
22:38:24,11,P
22:38:11,8,P
22:38:11,0,B
22:38:07,7,V
22:38,2,V
22:38,9,P
22:37:54,5,V
22:37:41,8,P
22:37:37,6,V
22:37:24,12,P
22:37:11,5,V
22:37:07,11,P
22:37,6,V
22:37,1,V
22:36:54,2,V
22:36:41,11,P
22:36:37,12,P
22:36:24,12,P
22:36:24,11,P
22:36:11,14,P
22:36:07,11,P
22:36,2,V
22:36,3,V
22:35:54,11,P
22:35:41,12,P
22:35:37,10,P
22:35:23,0,B
22:35:11,2,V
22:35:07,5,V
22:35,4,V
22:34:53,13,P
22:34:41,13,P
22:34:37,1,V
22:34:23,3,V
22:34:11,9,P
22:34:07,6,V
22:34,7,V
22:34,11,P
22:33:53,12,P
22:33:41,2,V
22:33:37,13,P
22:33:23,7,V
22:33:10,9,P
22:33:07,11,P
22:33,10,P
22:33,6,V
22:32:53,9,P
22:32:53,4,V
22:32:40,6,V
22:32:37,1,V
22:32:23,9,P
22:32:10,6,V
22:32:07,1,V
22:32,2,V
22:32,3,V
22:31:53,11,P
22:31:40,14,P
22:31:37,13,P
22:31:23,7,V
22:31:10,11,P
22:31:06,11,P
22:31,7,V
22:31,6,V
22:30:53,12,P
22:30:40,2,V
22:30:36,2,V
22:30:23,9,P
22:30:10,3,V
22:30:06,2,V
22:30,11,P
22:30,10,P
22:29:53,5,V
22:29:40,2,V
22:29:36,4,V
22:29:23,0,B
22:29:10,11,P
22:29:06,7,V
22:29,6,V
22:28:53,12,P
22:28:40,5,V
22:28:36,3,V
22:28:23,4,V
22:28:10,14,P
22:28:06,3,V
22:28,4,V
22:28,2,V
22:27:53,4,V
22:27:40,3,V
22:27:36,4,V
22:27:23,10,P
22:27:10,14,P
22:27:06,1,V
22:27,4,V
22:27,8,P
22:26:53,11,P
22:26:40,14,P
22:26:36,7,V
22:26:23,3,V
22:26:10,13,P
22:26:06,3,V
22:26,11,P
22:26,14,P
22:26,6,V
22:25:52,13,P
22:25:40,5,V
22:25:36,3,V
22:25:22,3,V
22:25:10,0,B
22:25:06,1,V
22:25:06,9,P
22:25,11,P
22:24:52,10,P
22:24:40,11,P
22:24:36,9,P
22:24:22,0,B
22:24:09,6,V
22:24:06,3,V
22:24,3,V
22:24,11,P
22:23:52,2,V
22:23:39,10,P
22:23:36,5,V
22:23:22,7,V
22:23:09,8,P
22:23:06,4,V
22:23,9,P
22:23,3,V
22:22:52,10,P
22:22:39,3,V
22:22:36,3,V
22:22:22,12,P
22:22:09,2,V
22:22:05,0,B
22:22,10,P
22:22,12,P
22:21:52,5,V
22:21:39,2,V
22:21:35,12,P
22:21:22,12,P
22:21:09,1,V
22:21:05,3,V
22:21,14,P
22:21,11,P
22:20:52,11,P
22:20:39,4,V
22:20:35,11,P
22:20:22,9,P
22:20:09,11,P
22:20:05,3,V
22:20,12,P
22:20,1,V
22:19:52,14,P
22:19:39,2,V
22:19:35,12,P
22:19:22,11,P
22:19:09,0,B
22:19:05,12,P
22:19,13,P
22:19,10,P
22:18:52,3,V
22:18:39,13,P
22:18:35,3,V
22:18:22,8,P
22:18:09,7,V
22:18:05,12,P
22:18,8,P
22:18,6,V
22:17:52,6,V
22:17:39,10,P
22:17:35,3,V
22:17:21,11,P
22:17:09,4,V
22:17:05,14,P
22:17,5,V
22:17,12,P
22:16:51,13,P
22:16:39,10,P
22:16:35,2,V
22:16:35,14,P
22:16:21,7,V
22:16:09,9,P
22:16:05,9,P
22:16:05,2,V
22:16,0,B
22:15:51,14,P
22:15:38,8,P
22:15:35,9,P
22:15:21,13,P
22:15:08,9,P
22:15:05,8,P
22:15,9,P
22:15,6,V
22:14:51,5,V
22:14:38,11,P
22:14:35,13,P
22:14:21,7,V
22:14:08,13,P
22:14:05,10,P
22:14,3,V
22:14,1,V
22:13:51,7,V
22:13:38,12,P
22:13:35,9,P
22:13:21,9,P
22:13:08,5,V
22:13:04,14,P
22:13,0,B
22:13,9,P
22:12:51,9,P
22:12:34,11,P
22:12:21,7,V
22:12:04,7,V
22:12,10,P
22:12,0,B
22:11:51,7,V
22:11:38,14,P
22:11:34,14,P
22:11:21,0,B
22:11:08,9,P
22:11:04,3,V
22:11,11,P
22:10:51,11,P
22:10:38,10,P
22:10:34,8,P
22:10:21,13,P
22:10:08,8,P
22:10:04,11,P
22:10,5,V
22:10,10,P
22:09:51,2,V
22:09:38,3,V
22:09:34,7,V
22:09:21,11,P
22:09:08,0,B
22:09:04,8,P
22:09,4,V
22:09,9,P
22:08:51,7,V
22:08:38,12,P
22:08:34,1,V
22:08:20,6,V
22:08:08,5,V
22:08:04,5,V
22:08,6,V
22:08,3,V
22:07:50,13,P
22:07:38,7,V
22:07:34,2,V
22:07:20,13,P
22:07:08,9,P
22:07:04,4,V
22:07,14,P
22:07,13,P
22:06:50,0,B
22:06:37,5,V
22:06:34,0,B
22:06:20,8,P
22:06:07,13,P
22:06:04,1,V
22:06,8,P
22:06,0,B
22:05:50,14,P
22:05:37,14,P
22:05:34,7,V
22:05:20,14,P
22:05:07,13,P
22:05:04,6,V
22:05,12,P
22:05,8,P
22:04:50,6,V
22:04:50,5,V
22:04:37,1,V
22:04:33,4,V
22:04:20,5,V
22:04:07,12,P
22:04:03,9,P
22:04,10,P
22:04,4,V
22:03:50,10,P
22:03:37,11,P
22:03:33,2,V
22:03:20,12,P
22:03:07,9,P
22:03:03,2,V
22:03,14,P
22:03,4,V
22:02:50,13,P
22:02:37,4,V
22:02:33,6,V
22:02:20,13,P
22:02:07,7,V
22:02:03,2,V
22:02,4,V
22:02,12,P
22:01:50,14,P
22:01:37,6,V
22:01:33,1,V
22:01:20,8,P
22:01:07,7,V
22:01:03,3,V
22:01,0,B
22:01,6,V
22:00:50,3,V
22:00:37,11,P
22:00:33,14,P
22:00:20,11,P
22:00:07,11,P
22:00:03,3,V
22:00,12,P
22:00,2,V
21:59:49,4,V
21:59:37,3,V
21:59:33,1,V
21:59:19,7,V
21:59:07,5,V
21:59:03,5,V
21:59,14,P
21:59,0,B
21:58:49,7,V
21:58:37,13,P
21:58:33,6,V
21:58:19,11,P
21:58:06,4,V
21:58:03,0,B
21:58,6,V
21:58,3,V
21:57:49,7,V
21:57:36,7,V
21:57:33,1,V
21:57:19,8,P
21:57:06,3,V
21:57:03,1,V
21:57,4,V
21:57,3,V
21:56:49,0,B
21:56:36,1,V
21:56:33,3,V
21:56:33,13,P
21:56:19,9,P
21:56:06,0,B
21:56:03,13,P
21:56,8,P
21:56,3,V
21:55:49,14,P
21:55:36,11,P
21:55:32,5,V
21:55:19,1,V
21:55:06,7,V
21:55:02,1,V
21:55,13,P
21:55,9,P
21:54:49,13,P
21:54:36,9,P
21:54:32,9,P
21:54:19,9,P
21:54:06,5,V
21:54:02,9,P
21:54,4,V
21:54,1,V
21:53:49,7,V
21:53:36,6,V
21:53:32,8,P
21:53:19,3,V
21:53:06,10,P
21:53:02,1,V
21:53,1,V
21:53,4,V
21:52:49,11,P
21:52:36,13,P
21:52:32,9,P
21:52:19,2,V
21:52:06,0,B
21:52:02,9,P
21:52,11,P
21:52,4,V
21:51:49,12,P
21:51:36,6,V
21:51:32,8,P
21:51:19,13,P
21:51:06,2,V
21:51:02,10,P
21:51,8,P
21:51,0,B
21:50:48,10,P
21:50:36,12,P
21:50:32,12,P
21:50:18,4,V
21:50:06,6,V
21:50:02,5,V
21:50,5,V
21:50,4,V
21:49:48,12,P
21:49:36,4,V
21:49:32,8,P
21:49:18,9,P
21:49:05,14,P
21:49:02,2,V
21:49,3,V
21:49,12,P
21:48:48,14,P
21:48:35,3,V
21:48:32,3,V
21:48:32,4,V
21:48:18,6,V
21:48:05,13,P
21:48:02,4,V
21:48,10,P
21:47:48,6,V
21:47:35,7,V
21:47:32,10,P
21:47:18,7,V
21:47:05,11,P
21:47:02,6,V
21:47,12,P
21:47,8,P
21:46:48,4,V
21:46:35,4,V
21:46:31,12,P
21:46:18,1,V
21:46:05,4,V
21:46:01,8,P
21:46,4,V
21:46,13,P
21:45:48,11,P
21:45:35,12,P
21:45:35,2,V
21:45:31,8,P
21:45:18,9,P
21:45:05,2,V
21:45:01,5,V
21:45,9,P
21:44:48,13,P
21:44:35,6,V
21:44:31,3,V
21:44:18,1,V
21:44:05,11,P
21:44:01,7,V
21:44,4,V
21:44,6,V
21:43:47,4,V
21:43:35,3,V
21:43:31,3,V
21:43:17,13,P
21:43:05,5,V
21:43:01,7,V
21:43,4,V
21:43,2,V
21:42:47,8,P
21:42:35,1,V
21:42:31,14,P
21:42:17,6,V
21:42:05,11,P
21:42:01,3,V
21:42,10,P
21:42,9,P
21:41:47,0,B
21:41:35,7,V
21:41:31,13,P
21:41:17,12,P
21:41:17,1,V
21:41:05,14,P
21:41:01,5,V
21:41,11,P
21:41,8,P
21:40:47,12,P
21:40:34,5,V
21:40:31,12,P
21:40:17,2,V
21:40:04,11,P
21:40:01,3,V
21:40,9,P
21:40,13,P
21:39:47,1,V
21:39:34,10,P
21:39:31,8,P
21:39:17,7,V
21:39:04,5,V
21:39:04,6,V
21:39:01,13,P
21:39,11,P
21:39,6,V
21:38:47,12,P
21:38:34,6,V
21:38:31,13,P
21:38:17,12,P
21:38:04,5,V
21:38:01,0,B
21:38,4,V
21:38,1,V
21:37:47,11,P
21:37:34,4,V
21:37:30,1,V
21:37:17,3,V
21:37:04,13,P
21:37:00,14,P
21:37,11,P
21:37,14,P
21:36:47,9,P
21:36:34,13,P
21:36:30,8,P
21:36:17,10,P
21:36:04,6,V
21:36:00,11,P
21:36,12,P
21:36,11,P
21:35:46,7,V
21:35:34,4,V
21:35:30,1,V
21:35:30,12,P
21:35:16,14,P
21:35:04,10,P
21:35:00,12,P
21:35,2,V
21:35,11,P
21:34:46,9,P
21:34:34,0,B
21:34:30,6,V
21:34:16,12,P
21:34:04,10,P
21:34:00,14,P
21:34,10,P
21:34,1,V
21:33:46,1,V
21:33:34,11,P
21:33:30,8,P
21:33:16,10,P
21:33:04,5,V
21:33:00,3,V
21:33,0,B
21:33,4,V
21:32:46,12,P
21:32:33,2,V
21:32:30,12,P
21:32:16,5,V
21:32:03,5,V
21:32:00,10,P
21:32,11,P
21:32,2,V
21:31:46,1,V
21:31:33,13,P
21:31:30,7,V
21:31:16,12,P
21:31:03,12,P
21:31:00,7,V
21:31,11,P
21:31,9,P
21:30:46,3,V
21:30:33,11,P
21:30:30,9,P
21:30:16,8,P
21:30:03,12,P
21:30:00,2,V
21:30,11,P
21:30,13,P
21:29:46,4,V
21:29:46,13,P
21:29:33,8,P
21:29:30,7,V
21:29:16,13,P
21:29:03,11,P
21:29:00,14,P
21:29,8,P
21:29,11,P
21:28:46,5,V
21:28:33,14,P
21:28:29,6,V
21:28:16,7,V
21:28:03,6,V
21:28,8,P
21:28,4,V
21:27:59,3,V
21:27:46,0,B
21:27:33,14,P
21:27:29,10,P
21:27:15,2,V
21:27:03,12,P
21:27,14,P
21:27,6,V
21:26:59,11,P
21:26:45,0,B
21:26:33,0,B
21:26:29,13,P
21:26:15,13,P
21:26:03,10,P
21:26,9,P
21:26,3,V
21:25:59,11,P
21:25:45,5,V
21:25:33,13,P
21:25:29,13,P
21:25:15,6,V
21:25:03,13,P
21:25,12,P
21:25,6,V
21:24:59,14,P
21:24:45,14,P
21:24:33,13,P
21:24:29,14,P
21:24:15,13,P
21:24:03,1,V
21:24,12,P
21:24,3,V
21:23:59,1,V
21:23:45,8,P
21:23:32,0,B
21:23:29,7,V
21:23:15,4,V
21:23:02,0,B
21:23,6,V
21:23,8,P
21:22:59,12,P
21:22:45,2,V
21:22:32,5,V
21:22:29,2,V
21:22:15,5,V
21:22:02,9,P
21:22,7,V
21:21:59,5,V
21:21:45,13,P
21:21:32,2,V
21:21:29,2,V
21:21:15,0,B
21:21:02,2,V
21:21,3,V
21:21,9,P
21:20:59,9,P
21:20:45,11,P
21:20:32,5,V
21:20:29,11,P
21:20:15,7,V
21:20:02,12,P
21:20,4,V
21:20,11,P
21:19:58,13,P
21:19:45,1,V
21:19:32,12,P
21:19:28,7,V
21:19:15,14,P
21:19:02,12,P
21:19,3,V
21:19,2,V
21:18:58,10,P
21:18:45,4,V
21:18:32,13,P
21:18:28,3,V
21:18:14,0,B
21:18:02,11,P
21:18,13,P
21:18,4,V
21:17:58,1,V
21:17:44,1,V
21:17:32,11,P
21:17:28,0,B
21:17:14,6,V
21:17:02,0,B
21:17,1,V
21:17,0,B
21:16:58,1,V
21:16:44,1,V
21:16:32,9,P
21:16:28,10,P
21:16:14,9,P
21:16:02,6,V
21:16,0,B
21:16,6,V
21:15:58,11,P
21:15:44,12,P
21:15:32,3,V
21:15:28,0,B
21:15:14,2,V
21:15:01,1,V
21:15,1,V
21:15,11,P
21:14:58,1,V
21:14:44,9,P
21:14:31,1,V
21:14:28,10,P
21:14:14,12,P
21:14:01,11,P
21:14,2,V
21:14,5,V
21:13:58,8,P
21:13:44,4,V
21:13:31,9,P
21:13:28,4,V
21:13:14,13,P
21:13:01,10,P
21:13,9,P
21:13,14,P
21:12:58,4,V
21:12:44,13,P
21:12:31,1,V
21:12:28,9,P
21:12:14,2,V
21:12:01,11,P
21:12,12,P
21:12,9,P
21:11:58,0,B
21:11:44,10,P
21:11:31,10,P
21:11:28,4,V
21:11:14,4,V
21:11:01,2,V
21:11,3,V
21:11,8,P
21:10:57,7,V
21:10:44,11,P
21:10:31,4,V
21:10:27,8,P
21:10:14,3,V
21:10:01,13,P
21:10,6,V
21:10,7,V
21:09:57,4,V
21:09:44,11,P
21:09:31,1,V
21:09:27,5,V
21:09:13,8,P
21:09:01,13,P
21:09,13,P
21:09,0,B
21:08:57,10,P
21:08:43,6,V
21:08:31,13,P
21:08:27,4,V
21:08:13,9,P
21:08:01,13,P
21:08,7,V
21:08,8,P
21:07:57,4,V
21:07:43,12,P
21:07:31,8,P
21:07:27,3,V
21:07:13,7,V
21:07:01,10,P
21:07,0,B
21:07,10,P
21:06:57,11,P
21:06:43,4,V
21:06:30,10,P
21:06:27,14,P
21:06:13,4,V
21:06:00,13,P
21:06,1,V
21:06,13,P
21:05:57,1,V
21:05:43,1,V
21:05:30,14,P
21:05:27,6,V
21:05:13,12,P
21:05:00,7,V
21:05,8,P
21:04:57,8,P
21:04:43,9,P
21:04:30,5,V
21:04:27,0,B
21:04:13,13,P
21:04:00,4,V
21:04,4,V
21:04,1,V
21:03:57,12,P
21:03:43,1,V
21:03:30,11,P
21:03:27,0,B
21:03:13,8,P
21:03:00,14,P
21:03,0,B
21:03,1,V
21:02:57,11,P
21:02:43,14,P
21:02:30,9,P
21:02:27,2,V
21:02:13,8,P
21:02:00,13,P
21:02,2,V
21:02,3,V
21:01:56,7,V
21:01:43,9,P
21:01:30,12,P
21:01:26,0,B
21:01:13,10,P
21:01:00,1,V
21:01,6,V
21:01,2,V
21:00:56,5,V
21:00:42,1,V
21:00:30,10,P
21:00:26,5,V
21:00:12,3,V
21:00:00,12,P
21:00,4,V
21:00,14,P
20:59:56,7,V
20:59:56,14,P
20:59:42,6,V
20:59:30,9,P
20:59:26,14,P
20:59:12,1,V
20:59:00,7,V
20:59,11,P
20:59,2,V
20:58:56,9,P
20:58:42,1,V
20:58:30,6,V
20:58:26,7,V
20:58:12,14,P
20:58:00,12,P
20:58,1,V
20:58,11,P
20:57:56,10,P
20:57:42,5,V
20:57:29,14,P
20:57:26,2,V
20:57:12,10,P
20:57,14,P
20:56:59,8,P
20:56:56,8,P
20:56:42,1,V
20:56:29,6,V
20:56:26,8,P
20:56:12,5,V
20:56,7,V
